-- New Test: 	Optimized Collision Detection Test
-- New Test: 	Optimized Collision Detection Test
Loops: 	55652555
Time (ms): 	10000
Loops/Second: 	5.56526e+06
Num boxes: 	2
-- New Test: 	Optimized Collision Detection Test
Loops: 	59038277
Time (ms): 	10000
Loops/Second: 	5.90383e+06
Num boxes: 	2
-- New Test: 	Optimized Collision Detection Test
Loops: 	57464590
Time (ms): 	10000
Loops/Second: 	5.74646e+06
Num boxes: 	2
-- New Test: 	Optimized Collision Detection Test
Loops: 	58511567
Time (ms): 	10000
Loops/Second: 	5.85116e+06
Num boxes: 	2
-- New Test: 	Optimized Collision Detection Test
Loops: 	55760046
Time (ms): 	10000
Loops/Second: 	5.576e+06
Num boxes: 	2
-- New Test: 	Optimized Collision Detection Test
Loops: 	41482808
Time (ms): 	10000
Loops/Second: 	4.14828e+06
Num boxes: 	3
-- New Test: 	Optimized Collision Detection Test
Loops: 	41555040
Time (ms): 	10000
Loops/Second: 	4.1555e+06
Num boxes: 	3
-- New Test: 	Optimized Collision Detection Test
Loops: 	46934249
Time (ms): 	10000
Loops/Second: 	4.69342e+06
Num boxes: 	3
-- New Test: 	Optimized Collision Detection Test
Loops: 	49809199
Time (ms): 	10000
Loops/Second: 	4.98092e+06
Num boxes: 	3
-- New Test: 	Optimized Collision Detection Test
Loops: 	40271633
Time (ms): 	10000
Loops/Second: 	4.02716e+06
Num boxes: 	3
-- New Test: 	Optimized Collision Detection Test
Loops: 	39601060
Time (ms): 	10000
Loops/Second: 	3.96011e+06
Num boxes: 	4
-- New Test: 	Optimized Collision Detection Test
Loops: 	39474989
Time (ms): 	10000
Loops/Second: 	3.9475e+06
Num boxes: 	4
-- New Test: 	Optimized Collision Detection Test
Loops: 	39793190
Time (ms): 	10000
Loops/Second: 	3.97932e+06
Num boxes: 	4
-- New Test: 	Optimized Collision Detection Test
Loops: 	35690444
Time (ms): 	10000
Loops/Second: 	3.56904e+06
Num boxes: 	4
-- New Test: 	Optimized Collision Detection Test
Loops: 	40914962
Time (ms): 	10000
Loops/Second: 	4.0915e+06
Num boxes: 	4
-- New Test: 	Optimized Collision Detection Test
Loops: 	32942672
Time (ms): 	10000
Loops/Second: 	3.29427e+06
Num boxes: 	5
-- New Test: 	Optimized Collision Detection Test
Loops: 	27435448
Time (ms): 	10000
Loops/Second: 	2.74354e+06
Num boxes: 	5
-- New Test: 	Optimized Collision Detection Test
Loops: 	25923372
Time (ms): 	10000
Loops/Second: 	2.59234e+06
Num boxes: 	5
-- New Test: 	Optimized Collision Detection Test
Loops: 	25323687
Time (ms): 	10000
Loops/Second: 	2.53237e+06
Num boxes: 	5
-- New Test: 	Optimized Collision Detection Test
Loops: 	30351533
Time (ms): 	10000
Loops/Second: 	3.03515e+06
Num boxes: 	5
-- New Test: 	Optimized Collision Detection Test
Loops: 	24775166
Time (ms): 	10000
Loops/Second: 	2.47752e+06
Num boxes: 	6
-- New Test: 	Optimized Collision Detection Test
Loops: 	25671961
Time (ms): 	10000
Loops/Second: 	2.5672e+06
Num boxes: 	6
-- New Test: 	Optimized Collision Detection Test
Loops: 	25970395
Time (ms): 	10000
Loops/Second: 	2.59704e+06
Num boxes: 	6
-- New Test: 	Optimized Collision Detection Test
Loops: 	25615238
Time (ms): 	10000
Loops/Second: 	2.56152e+06
Num boxes: 	6
-- New Test: 	Optimized Collision Detection Test
Loops: 	25074188
Time (ms): 	10000
Loops/Second: 	2.50742e+06
Num boxes: 	6
-- New Test: 	Optimized Collision Detection Test
Loops: 	20593054
Time (ms): 	10000
Loops/Second: 	2.05931e+06
Num boxes: 	7
-- New Test: 	Optimized Collision Detection Test
Loops: 	20663271
Time (ms): 	10000
Loops/Second: 	2.06633e+06
Num boxes: 	7
-- New Test: 	Optimized Collision Detection Test
Loops: 	21514374
Time (ms): 	10000
Loops/Second: 	2.15144e+06
Num boxes: 	7
-- New Test: 	Optimized Collision Detection Test
Loops: 	19700167
Time (ms): 	10000
Loops/Second: 	1.97002e+06
Num boxes: 	7
-- New Test: 	Optimized Collision Detection Test
Loops: 	20381528
Time (ms): 	10000
Loops/Second: 	2.03815e+06
Num boxes: 	7
-- New Test: 	Optimized Collision Detection Test
Loops: 	16671202
Time (ms): 	10000
Loops/Second: 	1.66712e+06
Num boxes: 	8
-- New Test: 	Optimized Collision Detection Test
Loops: 	15894234
Time (ms): 	10000
Loops/Second: 	1.58942e+06
Num boxes: 	8
-- New Test: 	Optimized Collision Detection Test
Loops: 	13989746
Time (ms): 	10000
Loops/Second: 	1.39897e+06
Num boxes: 	8
-- New Test: 	Optimized Collision Detection Test
Loops: 	15534438
Time (ms): 	10000
Loops/Second: 	1.55344e+06
Num boxes: 	8
-- New Test: 	Optimized Collision Detection Test
Loops: 	17016267
Time (ms): 	10000
Loops/Second: 	1.70163e+06
Num boxes: 	8
-- New Test: 	Optimized Collision Detection Test
Loops: 	14049669
Time (ms): 	10000
Loops/Second: 	1.40497e+06
Num boxes: 	9
-- New Test: 	Optimized Collision Detection Test
Loops: 	13233540
Time (ms): 	10000
Loops/Second: 	1.32335e+06
Num boxes: 	9
-- New Test: 	Optimized Collision Detection Test
Loops: 	14590356
Time (ms): 	10000
Loops/Second: 	1.45904e+06
Num boxes: 	9
-- New Test: 	Optimized Collision Detection Test
